XDAT,Picture,CONDITION,TRIALTYPE,OCCURANCE,"X (Upper Left)_1","Y(Upper Left)_1",Width_1,Height_1,"Eyes X_1","Eyes Y_1","Eyes W_1","Eyes H_1","Nose X_1","Nose Y_1","Nose W_1","Nose H_1","Mouth X_1","Mouth Y_1","Mouth W_1","Mouth H_1","X (Upper Left)_2","Y (Upper Left)_2",Width_2,Height_2,"Eyes X_2","Eyes Y_2","Eyes W_2","Eyes H_2","Nose X_2","Nose Y_2","Nose W_2","Nose H_2","Mouth X_2","Mouth Y_2","Mouth W_2","Mouth H_2","X (Upper Left)_3","Y (Upper Left)_3",Width_3,Height_3,"Eyes X_3","Eyes Y_3","Eyes W_3","Eyes H_3","Nose X_3","Nose Y_3","Nose W_3","Nose H_3","Mouth X_3","Mouth Y_3","Mouth W_3","Mouth H_3","X (Upper Left)_4","Y (Upper Left)_4",Width_4,Height_4,"Eyes X_4","Eyes Y_4","Eyes W_4","Eyes H_4","Nose X_4","Nose Y_4","Nose W_4","Nose H_4","Mouth X_4","Mouth Y_4","Mouth W_4","Mouth H_4","X (Upper Left)_5","Y (Upper Left)_5",Width_5,Height_5,"Eyes X_5","Eyes Y_5","Eyes W_5","Eyes H_5","Nose X_5","Nose Y_5","Nose W_5","Nose H_5","Mouth X_5","Mouth Y_5","Mouth W_5","Mouth H_5","X (Upper Left)_6","Y (Upper Left)_6",Width_6,Height_6,"Eyes X_6","Eyes Y_6","Eyes W_6","Eyes H_6","Nose X_6","Nose Y_6","Nose W_6","Nose H_6","Mouth X_6","Mouth Y_6","Mouth W_6","Mouth H_6"
11,Bob_left_study.jpg,1,1,1,279,181,93,135,283,208,73,36,293,243,39,22,288,263,53,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Bob_frontal_study.jpg,1,1,1,271,177,101,143,283,207,74,31,302,239,38,23,294,262,54,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Bob_right_study.jpg,1,1,1,269,181,96,136,294,210,66,34,313,245,39,21,304,266,49,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,B1_Identical_Left.jpg,1,2,1,277,180,94,140,281,210,71,33,291,244,39,22,286,267,52,22,167,182,104,128,171,205,83,35,184,241,41,20,181,262,56,23,380,183,93,126,383,207,74,31,392,239,38,21,391,261,49,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,B2_Identical_Frontal.jpg,1,2,1,370,171,97,140,381,199,75,34,400,235,38,21,393,256,53,21,163,175,108,135,171,191,91,40,197,232,41,23,192,255,53,23,273,192,94,140,279,198,79,33,297,233,41,20,293,255,50,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,B3_Identical_Right.jpg,1,2,1,381,174,98,139,403,203,73,35,427,239,39,20,417,260,49,21,164,180,97,129,181,200,75,34,209,235,38,22,198,257,51,24,274,178,94,132,287,197,79,36,315,234,39,22,307,257,50,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Dan_Left_study.jpg,1,1,1,277,176,99,139,281,201,76,31,292,233,40,21,289,256,48,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Dan_frontal_study.jpg,1,1,1,264,176,110,140,280,197,84,33,301,231,41,23,294,256,53,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Dan_right_study.jpg,1,1,1,258,177,109,139,282,197,83,33,314,232,40,22,308,255,49,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,D1_Identical_Left.jpg,1,2,1,281,170,91,127,284,190,73,29,296,221,35,19,293,241,46,27,175,169,95,129,177,189,80,32,191,222,37,21,190,244,46,25,380,170,93,127,381,186,75,32,393,219,40,23,391,243,49,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,D2_Identical_Frontal.jpg,1,2,1,382,182,93,117,389,198,80,28,411,228,38,20,406,249,48,25,172,180,95,121,175,197,86,32,198,230,39,19,193,250,53,27,275,181,103,121,289,195,77,33,308,228,39,21,301,250,52,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,D3_Identical_Right.jpg,1,2,1,372,174,98,123,394,188,71,32,420,221,37,21,414,243,46,25,166,175,93,119,182,188,75,33,209,222,40,22,199,245,53,24,272,172,89,124,284,188,75,33,310,221,39,21,307,243,47,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Jim_left.jpg,1,1,1,275,176,107,140,275,199,85,34,290,234,41,24,287,259,56,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Jim_front.jpg,1,1,1,268,177,106,140,276,199,90,34,301,234,40,23,292,258,60,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Jim_right.jpg,1,1,1,256,177,112,139,281,199,84,34,312,234,43,22,301,257,56,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
